S.NO,      STATE/UT,2015,2016,2017,2018,2019,average for each state,#rape_average for each state,#kidnapping and abduction_average for each state,#dowry_deaths_average for each state,#Assault On Women With Intent To Outrage Her Modesty _average for each state,#immoral trafficing_average of state,#Abetment of suicide of women_average for each state,#Cruelty By Husband Or His Relatives_average for each state,"#Dowry Prohibition Act, 1961_average for each state",#sexual  harassment_average for each state,pov rate(people % below the poverty line 2021-2022),literacy(2021) %,Sex Ratio,HDI,unemployment,Police personnel per lakh of population(Actual),NSDP in Rs(2019),MPI
19,Nagaland,90,105,79,75,43,78.4,17.8,27,0.2,10.4,1.4,0,2.6,0,2.6,25.23,79.6,1007,0.679,19.3,1300.93,"1,16,882",0.117
20,Odisha,17144,17837,20098,20274,23183,19707.2,1720.8,2839.2,358.6,9032.8,24.6,8.4,2726.8,1351,376.4,32.59,72.9,1063,0.605,2.4166,129.31,"95,164",0.136
21,Punjab,5291,5105,4620,5302,5886,5240.8,817.4,1272,73.8,996.2,31,163.6,1483,5,146.4,5.59,75.8,938,0.724,7.675,268.5,"1,54,996",0.024
22,Rajasthan,28165,27422,25993,27866,41550,30199.2,4187.4,4433.8,447.6,5717.2,66,164,14076.8,4.4,237.4,29.46,66.1,1099,0.628,23.95,122.36,"1,10,606",0.14
23,Sikkim,53,153,163,172,125,133.2,28.2,13.4,0.4,24,0,0.2,2.2,0,4,3.82,81.4,990,0.717,6.47,851.27,"3,57,643",0.016
24,Tamil Nadu,5847,4463,5397,5822,5934,5492.6,343.2,966.4,50.8,875.6,412.2,180.2,1142,259.2,135.6,4.89,80.1,1088,0.709,7.1166,148.54,"2,04,488",0.02
25,Telangana,15135,15374,17521,16027,18394,16490.2,882.8,1002.4,223.2,4108.2,134.8,499.2,7439.2,7,361.6,13.74,66.54,1049,0.669,4.4416,130.88,"1,93,750",0.059
26,Tripura,1267,1013,972,907,1070,1045.8,140,121.2,27.2,221.8,0.8,10,406.6,0,16.8,16.65,87.2,1011,0.658,10.48,568.06,"1,13,102",0.075
27,Uttar Pradesh,35527,49262,56011,59445,59853,52019.6,3819.6,13030.4,2437.2,11274,31.4,292,13001.2,3355,3111.4,29.43,67.7,1017,0.594,5.125,133.85,"66,512",0.18
28,Uttarakhand,1453,1588,1944,2817,2541,2068.6,416,392.2,58.2,424,7.6,15.8,491.8,43.8,21,17.72,78.8,1016,0.683,4.475,188.16,"1,98,738",0.079
29,West Bengal,33218,32513,30992,30394,30394,31502.2,1106.2,4232.4,484,3975.2,89.8,397.2,18033.4,3.6,380.8,14.88,76.3,1049,0.641,9.0916,100.53,"1,09,491",0.097
30,A & N Islands,136,108,132,147,135,131.6,24.4,9.4,0.2,40.2,0,0.6,6,0,9.4,1,86.6,963,0.741,0,1080.9,"2,04,254",0.017
31,Chandigarh,463,414,453,442,515,457.4,80.6,136.6,4.4,83.6,0,4.4,127.8,0.6,10,21.81,86,917,0.776,7.89,649.62,"3,29,209",0.026
32,Delhi UT,17104,15310,13076,13640,13395,14505,1610.2,3872.4,134.6,3493.2,3.6,40,3468.2,18,418.8,9.91,86.2,913,0.746,15.0666,410.26,"3,65,529",0.021
34,Lakshadweep,9,9,6,11,38,14.6,1.4,0,0,2.4,0,0,1.4,0,1.4,2.77,91.8,1187,0.751,0,392.65,0,0.007
35,Puducherry,80,95,147,166,95,116.6,5.2,9.6,0.6,38.4,1,1.4,8,9.6,7.8,9.69,85.8,1112,0.74,11.375,225.28,"2,20,461",0.007
36,AVERAGE,9627.676471,9967.205882,10582.44118,11124.20588,11934.67647,10647.24118,1008.735294,1974.241176,217.6235294,2532.870588,51.84117647,140.3,3275.658824,328.7588235,330.4941176,18.285,77.60705882,1022.588235,0.680735294,8.453920588,371.5697059,"1,65,256",0.081323529
